Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
MGI:1347054,Gnpda1,M,AAOQ_76_038276,4.725,24.085,0.0544,0.5074,9.6,0.0169699,0.805518,0.158027,9.32721,29.90001465
MGI:1347054,Gnpda1,M,AAOQ_81_040681,4.19,23.93,0.0527,0.5002,9.7,0.0168986,0.808446,0.141554,9.49146,29.59999802
MGI:1347054,Gnpda1,M,AAOQ_83_040683,4.138,24.802,0.0546,0.5205,9.5,0.0170656,0.81318,0.135672,9.53297,30.5000123
MGI:1352757,Iqgap1,M,ACMU_161_487461,4.45,21.88,0.0506,0.4487,9.4,0.0169962,0.828788,0.168561,8.86759,26.39999614
MGI:1352757,Iqgap1,M,ACMU_164_487464,4.239,20.841,0.0494,0.418,9.4,0.0164567,0.820512,0.16689,8.46154,25.39999415
MGI:1352757,Iqgap1,M,ACMU_177_493977,3.314,21.236,0.0507,0.4464,9.2,0.0177849,0.846056,0.132032,8.80473,25.09999338
MGI:1353578,Pttg1,M,ACRB_113_448913,4.251,19.629,0.0498,0.4257,9.2,0.0178866,0.824748,0.178613,8.54819,23.79999709
MGI:1353578,Pttg1,M,ACRB_110_448910,4.564,16.466,0.0453,0.3405,8.9,0.0160613,0.776698,0.215283,7.51656,21.20000309
MGI:1353578,Pttg1,M,ACRB_124_448924,4.074,17.366,0.0468,0.3795,9,0.0174885,0.800276,0.187742,8.10897,21.7000135
MGI:1859214,Pmm2,M,ABLL_77_302577,4.524,22.086,0.0503,0.4399,9.4,0.0161728,0.811985,0.166324,8.74553,27.20000985
MGI:1859214,Pmm2,M,ABLL_81_303981,5.565,22.975,0.0487,0.421,9.4,0.0153091,0.835455,0.202364,8.64476,27.49998504
MGI:1859214,Pmm2,M,ABLL_76_302576,4.935,21.595,0.0522,0.4604,9.4,0.0168645,0.791026,0.180769,8.81992,27.29998761
MGI:1914346,Mmachc,M,ACCV_57_356157,3.782,24.868,0.0534,0.5346,9.5,0.0182457,0.848737,0.129079,10.0112,29.30000695
MGI:1914346,Mmachc,M,ACCV_72_356272,3.897,24.343,0.0534,0.5478,9.8,0.0181993,0.808738,0.129468,10.2584,30.09998294
